scale,schema,build_seconds,nodes,edges,mbytes
1000,flat,0.063,12850,55309,29.9
1000,mid,0.123,13036,73449,34.7
1000,normalized,0.615,81510,146898,86.1
2000,flat,0.206,25954,111625,62.0
2000,mid,0.649,26240,148165,70.4
2000,normalized,0.987,164430,296330,173.4
3000,flat,0.267,38990,167734,91.2
3000,mid,0.847,39394,222527,106.4
3000,normalized,1.848,246946,445054,255.1
5000,flat,1.267,64734,278136,154.1
5000,mid,1.226,65383,369452,174.9
5000,normalized,4.636,409860,738904,437.6
10000,flat,2.452,129558,555604,307.8
10000,mid,3.148,130824,738604,349.5
10000,normalized,7.567,819453,1477208,874.8
20000,flat,4.818,259838,1115687,617.7
20000,mid,4.071,262329,1482443,701.1
20000,normalized,11.332,1644797,2964886,1754.8
